发送时间: 2018-11-08 17:42:48 	 服务器地址: http://192.168.2.90:8000/assets/report/ 	 返回结果: 发送失败 
发送时间: 2018-11-08 18:09:17 	 服务器地址: http://192.168.2.90:8000/assets/report/ 	 返回结果: 发送失败 
发送时间: 2018-11-08 18:10:29 	 服务器地址: http://192.168.2.90:8000/assets/report/ 	 返回结果: 发送失败 
发送时间: 2018-11-08 18:11:00 	 服务器地址: http://192.168.2.90:8000/assets/report/ 	 返回结果: 发送失败 
发送时间: 2018-11-08 18:11:45 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 发送失败 
发送时间: 2018-11-08 18:13:47 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:15:42 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:17:06 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:17:08 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:17:21 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:17:23 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:17:40 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:20:12 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-08 18:30:52 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-09 10:33:31 	 服务器地址: http://127.0.0.1:8000/assets/report/ 	 返回结果: 成功收到数据！ 
发送时间: 2018-11-12 18:07:26 	 服务器地址: http://192.168.2.90:8000/assets/report/ 	 返回结果: 发送失败 
发送时间: 2018-11-12 18:09:29 	 服务器地址: http://192.168.2.90:8000/assets/report/ 	 返回结果: 发送失败 
发送时间: 2018-11-12 18:09:59 	 服务器地址: http://192.168.2.90:8000/assets/report/ 	 返回结果: 资产已经加入或者更新待审批区! 
